PASTE name and timing of a dance here,
Dakota_BurlesqueDance01_PARAGON,28.05
Dakota_BurlesqueDance02_PARAGON,28
Dakota_BurlesqueDance03_PARAGON,29
Dakota_BurlesqueDance04_PARAGON,28
Dakota_BurlesqueDance05_PARAGON,23
Dakota_BurlesqueDance06_PARAGON,26.1
Dakota_BurlesqueDance07_PARAGON,29
Dakota_BurlesqueDance08_PARAGON,28
Dakota_BurlesqueDance09_PARAGON,26.2
Dakota_BurlesqueDance10_PARAGON,28.35
Dakota_BurlesqueDance11_PARAGON,27.9
Dakota_BurlesqueDance12_PARAGON,26.7
Dakota_BurlesqueDance13_PARAGON,25.95
Dakota_BurlesqueDance14_PARAGON,23.85
,
,
,
,
Bento Charleston 1,30.9
Bento Charleston 1 (mirror),30.9
Bento Charleston 2,29.2
Bento Charleston 2 (mirror),29.2
Bento Charleston 3,33.2
Bento Charleston 3 (mirror),33.2
Bento Charleston 4,33.3
Bento Charleston 4 (mirror),33.3
Bento Charleston 5,33.3
Bento Charleston 5 (mirror),33.3
Bento Charleston 6,32.4
Bento Charleston 6 (mirror),32.4
Bento Charleston 7,31.9
Bento Charleston 7 (mirror),31.9
Bento Charleston 8,32.1
Bento Charleston 8 (mirror),32.1
Bento Charleston 9,32.3
Bento Charleston 9 (mirror),32.3
Bento Charleston 10,32.6
Bento Charleston 10 (mirror),32.6
Bento Charleston 11,34.1
Bento Charleston 11 (mirror),34.1
Bento Charleston 12,31.7
Bento Charleston 12 (mirror),31.7
